Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
prìmå i gh'à metìt sö,per prima cosa a quello hanno messo,<sos> prìmå i gh'à metìt sö <eos>,<sos> per prima cosa a quello hanno messo <eos>
ciàma lé ö hervitùr e faga trahportà 'l hachèl,chiama un servo per fargli trasportare il sacchetto,<sos> ciàma lé ö hervitùr e faga trahportà 'l hachèl <eos>,<sos> chiama un servo per fargli trasportare il sacchetto <eos>
nügü i püdéå deliberàlå,nessuno poteva liberarla,<sos> nügü i püdéå deliberàlå <eos>,<sos> nessuno poteva liberarla <eos>
ma poveri,ma poveri,<sos> ma poveri <eos>,<sos> ma poveri <eos>
e 'hte 'htré-e i urlà-a,le streghe gridavano,<sos> e 'hte 'htré-e i urlà-a <eos>,<sos> le streghe gridavano <eos>
öle fà l'imperatrice,voglio fare l'imperatrice,<sos> öle fà l'imperatrice <eos>,<sos> voglio fare l'imperatrice <eos>
al gh'è sö l'àiguå-che-bàlå —,c'è l'acqua-che-balla —,<sos> al gh'è sö l'àiguå-che-bàlå <eos>,<sos> c'è l'acqua-che-balla <eos>
che i śgirà-a,andavano in giro,<sos> che i śgirà-a <eos>,<sos> andavano in giro <eos>
de śburdelà,del baccano,<sos> de śburdelà <eos>,<sos> del baccano <eos>
perchè quàndo arriverài alle pòrte dèlla città,perché quando arriverai alle porte della città,<sos> perchè quàndo arriverài alle pòrte dèlla città <eos>,<sos> perché quando arriverai alle porte della città <eos>
perchè i contrabandér gh'è miga tàt de fidàs! —,perché di loro non c'è tanto da fidarsi —,<sos> perchè i contrabandér gh'è miga tàt de fidàs ! <eos>,<sos> perché di loro non c'è tanto da fidarsi <eos>
pòta gh'è argü piö fórt de mé,c'è qualcuno più forte di me,<sos> pòta gh'è argü piö fórt de mé <eos>,<sos> c'è qualcuno più forte di me <eos>
làghem,lascia,<sos> làghem <eos>,<sos> lascia <eos>
on pó de sólc,qualche soldo,<sos> on pó de sólc <eos>,<sos> qualche soldo <eos>
e furche,e forche,<sos> e furche <eos>,<sos> e forche <eos>
ó dét in d'ön ótra! — 'l dìh —,sono entrato in un'altra,<sos> ó dét in d'ön ótra ! 'l dìh <eos>,<sos> sono entrato in un'altra <eos>
perchè domà,perché domani,<sos> perchè domà <eos>,<sos> perché domani <eos>
l'è nàt en sö,il ragazzo è andato,<sos> l'è nàt en sö <eos>,<sos> il ragazzo è andato <eos>
la dìh: « arda 'm pó,si diceva: « guarda un po',<sos> la dìh arda 'm pó <eos>,<sos> si diceva guarda un po' <eos>
tütå la cità che fà-å fèstå!,tutta la città faceva festa!,<sos> tütå la cità che fà-å fèstå ! <eos>,<sos> tutta la città faceva festa ! <eos>
— potà — 'l dìh — i vorà fà öna pipada — 'l dìh,— si vede che vorranno fare una pipata,<sos> potà 'l dìh i vorà fà öna pipada 'l dìh <eos>,<sos> si vede che vorranno fare una pipata <eos>
ål la èt tütå,e si accorge che è tutta,<sos> ål la èt tütå <eos>,<sos> e si accorge che è tutta <eos>
mé 'ndó 'n sö —,ci vado —,<sos> mé 'ndó 'n sö <eos>,<sos> ci vado <eos>
gnècå:,arrabbiata:,<sos> gnècå <eos>,<sos> arrabbiata <eos>
śbetègå,e strilla,<sos> śbetègå <eos>,<sos> e strilla <eos>
ü bèl aśnì,un bell'asinello,<sos> ü bèl aśnì <eos>,<sos> un bell'asinello <eos>
onfati ål gh'à dàt la càvrå,così gli ha dato la capra,<sos> onfati ål gh'à dàt la càvrå <eos>,<sos> così gli ha dato la capra <eos>
— ah 'ndó!,— ah vado!,<sos> ah 'ndó ! <eos>,<sos> ah vado ! <eos>
pòta ta l' róbet sö,rubalo,<sos> pòta ta l' róbet sö <eos>,<sos> rubalo <eos>
difati lü l'à fàt silènsio,così lui ha fatto silenzio,<sos> difati lü l'à fàt silènsio <eos>,<sos> così lui ha fatto silenzio <eos>
chèl òm cói rihulì:,quell'uomo coi riccioli:,<sos> chèl òm cói rihulì <eos>,<sos> quell'uomo coi riccioli <eos>
e la des-cià-a,ad aprire la porta,<sos> e la des-cià-a <eos>,<sos> ad aprire la porta <eos>
— tàches ala cù-a,— attaccati alla coda,<sos> tàches ala cù-a <eos>,<sos> attaccati alla coda <eos>
"e chèl óter al vülìa 'ndà hö a' lü, gh'éra 'm pó de dihcüssiù","ma l'altro voleva regnare anche lui, c'era un po' di discussione","<sos> e chèl óter al vülìa 'ndà hö a' lü , gh'éra 'm pó de dihcüssiù <eos>","<sos> ma l'altro voleva regnare anche lui , c'era un po' di discussione <eos>"
la l'à 'nvi-àt là,l'ha spinto,<sos> la l'à 'nvi-àt là <eos>,<sos> l'ha spinto <eos>
l'à fàc gió i pólvér,e ha fatto le polveri,<sos> l'à fàc gió i pólvér <eos>,<sos> e ha fatto le polveri <eos>
che 'm gh'arà de mangià e bé-e,avremo da mangiare e bere,<sos> che 'm gh'arà de mangià e bé-e <eos>,<sos> avremo da mangiare e bere <eos>
cói serviénc,e i chierichetti,<sos> cói serviénc <eos>,<sos> e i chierichetti <eos>
e 'm gi à tignìc grànc,e li abbiamo fatti crescere,<sos> e 'm gi à tignìc grànc <eos>,<sos> e li abbiamo fatti crescere <eos>
e gliùrå lùr i fà:,e questi dicono:,<sos> e gliùrå lùr i fà <eos>,<sos> e questi dicono <eos>
e lü chèl là 'l gh'à cöntàt hö ca l'è htàt sö 'n sèma ala tór,l'uomo pelato gli ha raccontato che era stato in cima alla torre,<sos> e lü chèl là 'l gh'à cöntàt hö ca l'è htàt sö 'n sèma ala tór <eos>,<sos> l'uomo pelato gli ha raccontato che era stato in cima alla torre <eos>
— gliùrå edès 'dóm che ve daró la hénå —,— allora adesso vi dò la cena —,<sos> gliùrå edès 'dóm che ve daró la hénå <eos>,<sos> allora adesso vi dò la cena <eos>
teàt gió ünå bèlå bachètå lóngå,ha tagliato una bella bacchetta lunga,<sos> teàt gió ünå bèlå bachètå lóngå <eos>,<sos> ha tagliato una bella bacchetta lunga <eos>
gliùrå,allora,<sos> gliùrå <eos>,<sos> allora <eos>
a bìe amò ergótå,a bere qualcosa,<sos> a bìe amò ergótå <eos>,<sos> a bere qualcosa <eos>
lü chèl là l'à śgiràt in giro ala cà,quello ha fatto il giro della casa,<sos> lü chèl là l'à śgiràt in giro ala cà <eos>,<sos> quello ha fatto il giro della casa <eos>
eéh,eh,<sos> eéh <eos>,<sos> eh <eos>
lahaga manca ni-ènt,e non lasciar loro mancare niente,<sos> lahaga manca ni-ènt <eos>,<sos> e non lasciar loro mancare niente <eos>
lé de tànt,dopo tanto tempo,<sos> lé de tànt <eos>,<sos> dopo tanto tempo <eos>
dré al mùt on sö tànt,tanto in su,<sos> dré al mùt on sö tànt <eos>,<sos> tanto in su <eos>
ergót de dàm chèl sö lé! —,qualcosa da darmi quello lassù!,<sos> ergót de dàm chèl sö lé ! <eos>,<sos> qualcosa da darmi quello lassù ! <eos>
e ardà he 'l ciapà-å argót,in cerca di qualcosa,<sos> e ardà he 'l ciapà-å argót <eos>,<sos> in cerca di qualcosa <eos>
col ràs-c,col forcone,<sos> col ràs-c <eos>,<sos> col forcone <eos>
tàt gròs,e grossi!,<sos> tàt gròs <eos>,<sos> e grossi ! <eos>
pò lé,poi,<sos> pò lé <eos>,<sos> poi <eos>
de dìl pò mìå nèh!,di non dirlo!,<sos> de dìl pò mìå nèh ! <eos>,<sos> di non dirlo ! <eos>
e he te fé mìa prèst,se non ti sbrighi,<sos> e he te fé mìa prèst <eos>,<sos> se non ti sbrighi <eos>
e 'l pèh al vé mìa,ma il pesce non arriva,<sos> e 'l pèh al vé mìa <eos>,<sos> ma il pesce non arriva <eos>
— t'ó dìt che l'à purtàt l'àcquå-che-bàlå,— ti ho detto che ha portato l'acqua-che-balla,<sos> t'ó dìt che l'à purtàt l'àcquå-che-bàlå <eos>,<sos> ti ho detto che ha portato l'acqua-che-balla <eos>
perchè — 'l dìh —,perché,<sos> perchè 'l dìh <eos>,<sos> perché <eos>
«chi hà pò che adèh còma la 'ndarà a fenì! »,« chissà come andrà a finire! »,<sos> chi hà pò che adèh còma la 'ndarà a fenì ! <eos>,<sos> chissà come andrà a finire ! <eos>
'l ha hènta śó,si è seduto,<sos> 'l ha hènta śó <eos>,<sos> si è seduto <eos>
l'è 'ndada śgió,è sprofondata,<sos> l'è 'ndada śgió <eos>,<sos> è sprofondata <eos>
ö bezzutì 'l dìh —,un agnellino,<sos> ö bezzutì 'l dìh <eos>,<sos> un agnellino <eos>
i è turnàc endré piö,non sono tornati più indietro,<sos> i è turnàc endré piö <eos>,<sos> non sono tornati più indietro <eos>
pòtå,pota,<sos> pòtå <eos>,<sos> pota <eos>
'stå stréå,questa strega,<sos> 'stå stréå <eos>,<sos> questa strega <eos>
dòpo i l'à tignidå lé e la tuśa l'è 'gnìdå gràndå,l'han tenuta e la bambina s'è fatta grande,<sos> dòpo i l'à tignidå lé e la tuśa l'è 'gnìdå gràndå <eos>,<sos> l'han tenuta e la bambina s'è fatta grande <eos>
e becàm gió 'l furmét —,a beccare il frumento —,<sos> e becàm gió 'l furmét <eos>,<sos> a beccare il frumento <eos>
fò dol balcù,e dal balcone,<sos> fò dol balcù <eos>,<sos> e dal balcone <eos>
i cròf hö hura che i htà-a lé a hpetài ch'i 'ndàeh dét,e sopra i corvi aspettavano che annegassero,<sos> i cròf hö hura che i htà-a lé a hpetài ch'i 'ndàeh dét <eos>,<sos> e sopra i corvi aspettavano che annegassero <eos>
pòtå gliùrå 'l gh'érå mìå la lüce,a quel tempo non c'era la luce,<sos> pòtå gliùrå 'l gh'érå mìå la lüce <eos>,<sos> a quel tempo non c'era la luce <eos>
- hé hé,— io non morirò,<sos> - hé hé <eos>,<sos> io non morirò <eos>
e mé — 'l dìh —,io,<sos> e mé 'l dìh <eos>,<sos> io <eos>
'lura óter,allora lei,<sos> 'lura óter <eos>,<sos> allora lei <eos>
ségn che m'è parìt apéna a me,si vede che mi è sembrato...,<sos> ségn che m'è parìt apéna a me <eos>,<sos> si vede che mi è sembrato . . . <eos>
lé la l'à ìst,lei l'ha visto,<sos> lé la l'à ìst <eos>,<sos> lei l'ha visto <eos>
chèl lé l'è màt! —,— quello è matto! —,<sos> chèl lé l'è màt ! <eos>,<sos> quello è matto ! <eos>
e 'm sè che a' famàc al dìs —,siamo anche affamati,<sos> e 'm sè che a' famàc al dìs <eos>,<sos> siamo anche affamati <eos>
òi dì-entà öna regina,voglio diventare una regina,<sos> òi dì-entà öna regina <eos>,<sos> voglio diventare una regina <eos>
l'è crudàt gió,è crollato,<sos> l'è crudàt gió <eos>,<sos> è crollato <eos>
l'à ciapàt i pu-ì,ha afferrato i pulcini,<sos> l'à ciapàt i pu-ì <eos>,<sos> ha afferrato i pulcini <eos>
e 'l gi à dumandàt se 'l la luśà-å,gli ha chiesto se lo alloggiava,<sos> e 'l gi à dumandàt se 'l la luśà-å <eos>,<sos> gli ha chiesto se lo alloggiava <eos>
o a öna fòśa o a l'ótra,o in un modo o nell'altro,<sos> o a öna fòśa o a l'ótra <eos>,<sos> o in un modo o nell'altro <eos>
ü drago,un drago,<sos> ü drago <eos>,<sos> un drago <eos>
verrà un cagnolino e la morderà,verrà un cagnolino e la morderà,<sos> verrà un cagnolino e la morderà <eos>,<sos> verrà un cagnolino e la morderà <eos>
arda che quàndo che té ta davriré,quando aprirai,<sos> arda che quàndo che té ta davriré <eos>,<sos> quando aprirai <eos>
— Divìn Maèstro — 'l dìh —,— Divin Maestro,<sos> divìn maèstro 'l dìh <eos>,<sos> divin maestro <eos>
"ü laùr incredìbile, tüc che curìa","una cosa incredibile, tutti correvano","<sos> ü laùr incredìbile , tüc che curìa <eos>","<sos> una cosa incredibile , tutti correvano <eos>"
e lü 'l ghe diséå:,e l'orco ha gridato:,<sos> e lü 'l ghe diséå <eos>,<sos> e l'orco ha gridato <eos>
la sérå fò 'l sò albèrgo,chiude l'albergo,<sos> la sérå fò 'l sò albèrgo <eos>,<sos> chiude l'albergo <eos>
— ah — 'l dìs — se l'è per chèl lé — 'l dìs —,— se è solo per questo,<sos> ah 'l dìs se l'è per chèl lé 'l dìs <eos>,<sos> se è solo per questo <eos>
lü l'à bi-ìt e l'è di-entàt ü camós,lui ha bevuto ed è diventato un camoscio,<sos> lü l'à bi-ìt e l'è di-entàt ü camós <eos>,<sos> lui ha bevuto ed è diventato un camoscio <eos>
i gh'à dàt ün,gli han dato,<sos> i gh'à dàt ün <eos>,<sos> gli han dato <eos>
e uśà,e gridavano,<sos> e uśà <eos>,<sos> e gridavano <eos>
biśógna 'ndà a-ànti — al dìh ol prìncipe —,bisogna andare avanti — dice il principe —,<sos> biśógna 'ndà a-ànti al dìh ol prìncipe <eos>,<sos> bisogna andare avanti dice il principe <eos>
a 'ndo piö gna col Divìn Maèstro mé — 'l dìh — èh!,« non vado più neanche col Divin Maestro io! »,<sos> a 'ndo piö gna col divìn maèstro mé 'l dìh èh ! <eos>,<sos> non vado più neanche col divin maestro io ! <eos>
e 'l salta de là,è andato di là,<sos> e 'l salta de là <eos>,<sos> è andato di là <eos>
e 'sta nòt,e questa notte,<sos> e 'sta nòt <eos>,<sos> e questa notte <eos>
e issé à fàt,così hanno fatto,<sos> e issé à fàt <eos>,<sos> così hanno fatto <eos>
ü fiöl e üna fiölå,un bambino e una bambina,<sos> ü fiöl e üna fiölå <eos>,<sos> un bambino e una bambina <eos>
quanti invitati,quanti invitati,<sos> quanti invitati <eos>,<sos> quanti invitati <eos>
ål gh'érå mìå lü!,non c'era,<sos> ål gh'érå mìå lü ! <eos>,<sos> non c'era <eos>
"— hé hé, ma mé edès ghe rìe piö",— adesso non ci riesco più,"<sos> hé hé , ma mé edès ghe rìe piö <eos>",<sos> adesso non ci riesco più <eos>
codeghì,cotechini,<sos> codeghì <eos>,<sos> cotechini <eos>
e i ghe tirà-å li gambe dol lèt,tiravano le gambe del letto,<sos> e i ghe tirà-å li gambe dol lèt <eos>,<sos> tiravano le gambe del letto <eos>
Pómo 'l s'è durmentàt,Pomo si è addormentato,<sos> pómo 'l s'è durmentàt <eos>,<sos> pomo si è addormentato <eos>
— pòta mé l'ó piö èst!,— non l'ho più visto,<sos> pòta mé l'ó piö èst ! <eos>,<sos> non l'ho più visto <eos>
— hènte mé — 'l dìh — ca gh'ó piö tanta fòrsa...,— sento di avere più forza —,<sos> hènte mé 'l dìh ca gh'ó piö tanta fòrsa . . . <eos>,<sos> sento di avere più forza <eos>
'l ga dìh a śgiü,ha detto a uno,<sos> 'l ga dìh a śgiü <eos>,<sos> ha detto a uno <eos>
de mètel gió,per metterlo,<sos> de mètel gió <eos>,<sos> per metterlo <eos>
lé l'à raspàt fò 'l sò bèl,lei ha grattato,<sos> lé l'à raspàt fò 'l sò bèl <eos>,<sos> lei ha grattato <eos>
ön óter rè,un altro re,<sos> ön óter rè <eos>,<sos> un altro re <eos>
nèh,neh,<sos> nèh <eos>,<sos> neh <eos>
Paulì,Paolino,<sos> paulì <eos>,<sos> paolino <eos>
che l'èr übidiént,ubbidiente,<sos> che l'èr übidiént <eos>,<sos> ubbidiente <eos>
dù śömèi,due gemelli,<sos> dù śömèi <eos>,<sos> due gemelli <eos>
— ma nò!,— ma no!,<sos> ma nò ! <eos>,<sos> ma no ! <eos>
cumpagnerà pò —,accompagnerà —,<sos> cumpagnerà pò <eos>,<sos> accompagnerà <eos>
Hàn Pièro al Maèstro,San Pietro al Maestro,<sos> hàn pièro al maèstro <eos>,<sos> san pietro al maestro <eos>
maeró 'l làc »,mangerò il latte »,<sos> maeró 'l làc <eos>,<sos> mangerò il latte <eos>
te sé śgià mórta té e 'l Rè-Serpènte,"sarete già morti, tu e il serpente",<sos> te sé śgià mórta té e 'l rè-serpènte <eos>,"<sos> sarete già morti , tu e il serpente <eos>"
— la vita! —,— la vita! —,<sos> la vita ! <eos>,<sos> la vita ! <eos>
e diga ca la 'l làce fò,dille che pianga,<sos> e diga ca la 'l làce fò <eos>,<sos> dille che pianga <eos>
e gliùra 'hto pehì l'è 'gnìt amò 'n sima,allora il pesciolino è venuto a galla,<sos> e gliùra 'hto pehì l'è 'gnìt amò 'n sima <eos>,<sos> allora il pesciolino è venuto a galla <eos>
he troé ca-ài,a cercare due cavalli,<sos> he troé ca-ài <eos>,<sos> a cercare due cavalli <eos>
la horèlå la gh'à purtàt lé la galìnå,la sorella ha portato all'orco la gallina,<sos> la horèlå la gh'à purtàt lé la galìnå <eos>,<sos> la sorella ha portato all'orco la gallina <eos>
'hto póer òm:,il pover uomo:,<sos> 'hto póer òm <eos>,<sos> il pover uomo <eos>
ål pàså ü canarì,passa un canarino,<sos> ål pàså ü canarì <eos>,<sos> passa un canarino <eos>
e i è 'ndàc,sono andati,<sos> e i è 'ndàc <eos>,<sos> sono andati <eos>
hé ma té,hé ma té,<sos> hé ma té <eos>,<sos> hé ma té <eos>
— e gliùrå?,— allora?,<sos> e gliùrå ? <eos>,<sos> allora ? <eos>
l'à metìt gió 'm pó de palanche,con un po' di soldi,<sos> l'à metìt gió 'm pó de palanche <eos>,<sos> con un po' di soldi <eos>
fina che,finché,<sos> fina che <eos>,<sos> finché <eos>
Gh'érå ünå óltå,C'era una volta,<sos> gh'érå ünå óltå <eos>,<sos> c'era una volta <eos>
"la 'à, la 'à, la rìa 'n cità, la domanda","va e va, arriva in città, chiede","<sos> la 'à , la 'à , la rìa 'n cità , la domanda <eos>","<sos> va e va , arriva in città , chiede <eos>"
ma lé la fà: — 'ndó,ma la ragazza dice: — vado,<sos> ma lé la fà 'ndó <eos>,<sos> ma la ragazza dice vado <eos>
tütå col vél négher,col velo nero,<sos> tütå col vél négher <eos>,<sos> col velo nero <eos>
chèl óter che ga ufrìs de mangià,quell'altro da mangiare,<sos> chèl óter che ga ufrìs de mangià <eos>,<sos> quell'altro da mangiare <eos>
che i éå rubàt,rubati,<sos> che i éå rubàt <eos>,<sos> rubati <eos>
töt fahàt sö,tutto fasciato,<sos> töt fahàt sö <eos>,<sos> tutto fasciato <eos>
« cumince a éśghe ché,« per ora sono qui,<sos> cumince a éśghe ché <eos>,<sos> per ora sono qui <eos>
e và e và,va e va,<sos> e và e và <eos>,<sos> va e va <eos>
— eéh mète sö tànt de 'sto carbù,"— va bene, ne metto tanto",<sos> eéh mète sö tànt de 'sto carbù <eos>,"<sos> va bene , ne metto tanto <eos>"
chi mi paleśerà,chi mi paleserà,<sos> chi mi paleśerà <eos>,<sos> chi mi paleserà <eos>
'maśginàs!,immaginatevi!,<sos> 'maśginàs ! <eos>,<sos> immaginatevi ! <eos>
i n'éå pò rüspàt piö tance,ne avevano procurate di più,<sos> i n'éå pò rüspàt piö tance <eos>,<sos> ne avevano procurate di più <eos>
e cà,e cani,<sos> e cà <eos>,<sos> e cani <eos>
— té te gh'é de śgirà,— devi girare,<sos> té te gh'é de śgirà <eos>,<sos> devi girare <eos>
tùrnå 'ndré!,torna indietro!,<sos> tùrnå 'ndré ! <eos>,<sos> torna indietro ! <eos>
che isé i pöderà miga ègner déter —,non potranno entrare —,<sos> che isé i pöderà miga ègner déter <eos>,<sos> non potranno entrare <eos>
fìn che i à 'este dù carèc,finché han visto due carretti,<sos> fìn che i à 'este dù carèc <eos>,<sos> finché han visto due carretti <eos>
anche brà-a,e brava,<sos> anche brà-a <eos>,<sos> e brava <eos>
ö hunetì — 'l dìs — che va ciàme — 'l dìs —,"un momento, vi chiamerò io",<sos> ö hunetì 'l dìs che va ciàme 'l dìs <eos>,"<sos> un momento , vi chiamerò io <eos>"
la gh'éå hö 'l furmét essé bèl!,lei aveva un frumento tanto bello!,<sos> la gh'éå hö 'l furmét essé bèl ! <eos>,<sos> lei aveva un frumento tanto bello ! <eos>
e lé 'stå fómnå pòtå,la donna,<sos> e lé 'stå fómnå pòtå <eos>,<sos> la donna <eos>
e alura,allora,<sos> e alura <eos>,<sos> allora <eos>
al dìh: — ói de gnì śó a 'mprestà ol mé ca-alì de tacà de-ànte,il mugnaio dice: — devo prestarvi il mio cavallino da attaccare davanti,<sos> al dìh ói de gnì śó a 'mprestà ol mé ca-alì de tacà de-ànte <eos>,<sos> il mugnaio dice devo prestarvi il mio cavallino da attaccare davanti <eos>
